num_playouts:1000, win: 3, lose: 7, tie:0
num_playouts:1000, win: 7, lose: 3, tie:0
num_playouts:1000, win: 6, lose: 4, tie:0
num_playouts:1000, win: 8, lose: 2, tie:0
num_playouts:1000, win: 9, lose: 1, tie:0
num_playouts:1000, win: 7, lose: 3, tie:0
num_playouts:1000, win: 8, lose: 2, tie:0
num_playouts:1000, win: 7, lose: 3, tie:0
num_playouts:1000, win: 9, lose: 1, tie:0
num_playouts:1000, win: 10, lose: 0, tie:0
num_playouts:2000, win: 7, lose: 3, tie:0
num_playouts:2000, win: 6, lose: 4, tie:0
num_playouts:2000, win: 9, lose: 1, tie:0
num_playouts:2000, win: 7, lose: 3, tie:0
num_playouts:2000, win: 7, lose: 3, tie:0
num_playouts:2000, win: 6, lose: 4, tie:0
num_playouts:2000, win: 7, lose: 3, tie:0
num_playouts:2000, win: 10, lose: 0, tie:0
num_playouts:3000, win: 9, lose: 1, tie:0
num_playouts:3000, win: 7, lose: 3, tie:0
num_playouts:3000, win: 5, lose: 5, tie:0
num_playouts:3000, win: 7, lose: 3, tie:0
num_playouts:3000, win: 7, lose: 3, tie:0
num_playouts:3000, win: 8, lose: 2, tie:0
num_playouts:3000, win: 5, lose: 5, tie:0
num_playouts:3000, win: 8, lose: 2, tie:0
num_playouts:3000, win: 8, lose: 2, tie:0
num_playouts:3000, win: 7, lose: 3, tie:0
num_playouts:3000, win: 9, lose: 1, tie:0
num_playouts:3000, win: 8, lose: 2, tie:0
